objectID;food_type;stars_count;reviews_count;neighborhood;phone_number;price_range;dining_style
5319;Italian;4.4;884;Waikiki;(808) 955-5559;$31 to $50;Casual Elegant
124666;Moroccan;4.4;199;Honolulu;(808) 554-3847;$30 and under;Casual Elegant
118942;Italian;4.4;482;Wailea;(808) 891-8466;$31 to $50;Casual Elegant
5616;Steakhouse;3.8;357;Lahaina;(808) 667-4506;$31 to $50;Casual Elegant
24265;American;3.9;922;Kapalua;(808) 669-9600;$30 and under;Casual Dining
12028;Steak;4.6;1687;Waikiki;(808) 922-5555;$31 to $50;Fine Dining
12454;Hawaii Regional Cuisine;4.4;1708;Honolulu;(808) 921-7066;$31 to $50;Casual Elegant
109006;Japanese;4.0;65;Kapolei;(808) 678-1155;$31 to $50;Fine Dining
109876;Gastro Pub;3.4;267;Waikoloa;(808) 339-7145;$30 and under;Casual Dining
2634;Hawaiian;4.3;1509;Honolulu;(808) 951-3420;$31 to $50;Casual Elegant
49108;Contemporary American;4.4;798;Honolulu;(808) 732-9469;$31 to $50;Casual Dining
109780;Australian;4.1;298;Waikiki;(808) 922-1500;$30 and under;Casual Dining
7792;Steakhouse;4.3;564;Waikiki;(808) 949-4321 e;$31 to $50;Casual Elegant
83239;Hawaii Regional Cuisine;3.7;155;Waikoloa;(808) 886-8111;$31 to $50;Casual Elegant
22207;Contemporary American;4.6;2908;Kapalua;(808) 669-6400;$31 to $50;Fine Dining
111619;Hawaii Regional Cuisine;4.3;434;Wailea;(808) 573-1234;$31 to $50;Casual Elegant
108646;Seafood;3.9;50;Lihue;(808) 246-5524;$31 to $50;Casual Dining
113182;Hawaii Regional Cuisine;4.4;589;Honolulu;(808) 955-6505;$31 to $50;Casual Dining
19480;Global, International;4.4;560;Wailea;(808) 875-2210;$31 to $50;Fine Dining
90601;American;4.4;647;Lahaina;(808) 669-6425;$31 to $50;Casual Elegant
105136;Seafood;4.4;680;Poipu;(808) 742-7534;$30 and under;Casual Elegant
95188;Tapas / Small Plates;3.9;435;Koloa;(808) 742-7117;$31 to $50;Casual Elegant
68515;French;4.6;337;Honolulu;(808) 734-2737;$31 to $50;Casual Dining
109504;Hawaii Regional Cuisine;4.5;764;Kapolei;(808) 676-7697;$31 to $50;Casual Elegant
60133;Seafood;3.9;943;Waikiki;(808) 921-6111;$31 to $50;Casual Dining
41338;Japanese;4.3;2548;Waikiki;(808) 943-5900;$31 to $50;Casual Elegant
112126;Hawaiian;4.1;47;Lahaina;(808) 667-3259;$30 and under;Casual Dining
52798;Hawaii Regional Cuisine;4.6;1590;Kamuela;(808) 885-6822;$31 to $50;Fine Dining
100768;Hawaii Regional Cuisine;4.2;166;Princeville;(808) 827-8808;$31 to $50;Casual Elegant
113629;Contemporary Asian;4.3;268;Waikiki;(808) 931-6286;$31 to $50;Casual Dining
113170;Contemporary Italian;4.6;169;Honolulu;(808) 524-8466;$31 to $50;Casual Dining
118600;Hawaii Regional Cuisine;5.0;2;Lanai City;(808) 565-2000;$30 and under;Casual Dining
91510;Japanese;3.7;55;Waikoloa;(808) 886-1234;$31 to $50;Casual Elegant
61477;Seafood;4.5;1353;Lahaina;(808) 667-9390;$31 to $50;Casual Dining
62626;Italian;4.1;313;Poipu;(808) 240-6456;$31 to $50;Casual Elegant
105283;Seafood;4.4;631;Lihue;(808) 246-9599;$31 to $50;Casual Dining
54922;Seafood;4.5;744;Lahaina;(808) 667-4796;$31 to $50;Casual Elegant
64198;Italian;4.4;645;Wailea;(808) 874-8000;$31 to $50;Casual Elegant
5321;Italian;4.2;1052;Wailea;(808) 875-7555;$31 to $50;Casual Elegant
100756;Sushi;4.0;119;Kapaa;(808) 822-0664;$31 to $50;Casual Dining
102634;Japanese;4.5;167;Honolulu;(808) 737-0230;$31 to $50;Casual Elegant
80698;Afternoon Tea;4.2;108;Honolulu;(808) 739-8760;$31 to $50;Casual Elegant
67996;Italian;3.7;498;Honolulu;(808) 947-9899;$31 to $50;Casual Elegant
62068;International;3.8;310;Honolulu;(808) 948-8356;$31 to $50;Casual Dining
113440;Hawaii Regional Cuisine;4.1;496;Wailea;(808) 875-1234;$31 to $50;Casual Elegant
48475;Hawaii Regional Cuisine;4.0;705;Wailea;(808) 879-2607;$31 to $50;Casual Elegant
58738;Fusion / Eclectic;4.3;458;Honolulu;(808) 739-8760;$31 to $50;Casual Elegant
49486;Italian;3.6;528;Waikiki;(808) 922-3400;$31 to $50;Casual Elegant
90364;Tapas / Small Plates;4.2;111;Waikiki;(808) 683-7456;$31 to $50;Casual Dining
84472;American;4.1;16;Koloa;(808) 240-6456;$30 and under;Casual Dining
65962;Japanese;4.3;150;Kailua-Kona;(808) 326-1696;$31 to $50;Casual Dining
70528;Hawaii Regional Cuisine;4.3;304;Waikiki;(808) 923-1234;$31 to $50;Casual Dining
116170;Contemporary Asian;4.2;306;Waikoloa;(808) 886-6286;$31 to $50;Casual Dining
72253;Hawaiian;4.7;457;Kaupulehu;(808) 325-8000;$31 to $50;Casual Elegant
115399;Japanese;4.1;36;Honolulu;(808) 888-5975;$31 to $50;Casual Dining
55456;Hawaii Regional Cuisine;4.6;954;Makawao;(808) 572-2666;$31 to $50;Casual Dining
5320;Seafood;4.1;1111;Wailea;(808) 879-7224;$31 to $50;Casual Elegant
3342;Steak;4.3;1375;Honolulu;(808) 591-2005;$31 to $50;Casual Dining
100750;Contemporary American;4.3;1719;Kapolei;(808) 380-4086;$30 and under;Casual Dining
41341;Seafood;4.4;887;Waikiki;(808) 923-2277;$31 to $50;Casual Elegant
17935;Sushi;4.2;176;Kapalua;(808) 665-7089;$30 and under;Casual Dining
115966;Eurasian;4.2;498;Waikoloa;(808) 886-4321;$31 to $50;Casual Elegant
94243;Italian;3.7;169;Waikiki;(808) 941-8868;$31 to $50;Casual Dining
61462;Hawaii Regional Cuisine;4.1;783;Honolulu;(808) 945-6573;$31 to $50;Casual Dining
113437;American;4.2;67;Wailea;(808) 875-1234;$31 to $50;Casual Dining
106366;Steakhouse;3.6;261;Lahaina;(808) 667-5555;$31 to $50;Casual Dining
79732;Steak;3.8;90;Kaanapali;(808) 921-4600;$31 to $50;Casual Dining
95875;Contemporary American;3.3;93;Kihei;(808) 633-4220;$30 and under;Casual Elegant
109003;American;4.4;170;Waikiki;(808) 921-5564;$30 and under;Casual Dining
95392;Seafood;4.5;503;Lahaina;(808) 661-8939;$31 to $50;Fine Dining
52999;Contemporary Asian;4.5;507;Honolulu;(808) 237-5429;$31 to $50;Casual Elegant
90718;American;3.9;467;Keauhou;(808) 930-4911;$30 and under;Casual Dining
115804;Hawaii Regional Cuisine;4.3;722;Lahaina;(808) 669-6999;$31 to $50;Casual Elegant
47980;Steakhouse;3.9;382;Waikiki;(808) 941-6669;$31 to $50;Casual Dining
94516;Latin American;4.5;244;Kailua;(808) 261-1000;$30 and under;Casual Elegant
106069;American;3.3;8;Waikiki;(808) 923-3447;$30 and under;Casual Dining
48085;Mediterranean;4.5;1524;Lahaina;(808) 667-9394;$31 to $50;Casual Dining
95824;Seafood;4.5;112;Kailua-Kona;(808) 322-9992;$30 and under;Casual Dining
94240;Korean;3.6;33;Waikiki;(808) 921-8621;$30 and under;Casual Elegant
61108;Hawaii Regional Cuisine;4.1;242;North Shore;(808) 293-6000;$31 to $50;Casual Elegant
52282;Japanese;4.5;237;Kailua-Kona;(808) 322-6400;$31 to $50;Casual Dining
62629;Seafood;4.5;1059;Poipu;(808) 240-6456;$31 to $50;Casual Elegant
35704;Hawaii Regional Cuisine;4.5;1156;Koloa;(808) 742-8385;$31 to $50;Fine Dining
41368;Seafood;4.6;1381;Waikiki;(808) 923-2311;$31 to $50;Casual Elegant
12451;Japanese;4.4;197;Waikiki;(808) 921-7077;$31 to $50;Casual Elegant
148156;Hawaiian;4.3;166;Kapalua;(808) 662-6681;$31 to $50;Casual Elegant
66175;Japanese;4.3;380;Kamuela;(808) 887-2711;$30 and under;Casual Elegant
71005;Fusion / Eclectic;3.9;120;Kailua-Kona;(808) 329-2911;$30 and under;Casual Elegant
84349;Contemporary American;4.0;478;Honolulu;(808) 591-9132;$30 and under;Casual Dining
90613;Steak;4.1;170;Kalaheo;(808) 332-4444;$30 and under;Casual Dining
84811;Japanese;3.8;113;Waikoloa;(808) 886-1234;$31 to $50;Casual Elegant
52054;Comfort Food;4.4;195;Lanai City;(808) 565-7211;$30 and under;Casual Dining
72247;Italian;4.5;204;Kaupulehu;(808) 325-8000;$30 and under;Casual Dining
36412;Seafood;3.9;354;Princeville;(808) 826-2746;$31 to $50;Casual Dining
63178;Hawaii Regional Cuisine;3.9;672;Kailua-Kona;(808) 333-3434;$30 and under;Casual Dining
41143;Italian;4.2;461;Kaanapali;(808) 667-3254;$31 to $50;Casual Elegant
40141;Hawaii Regional Cuisine;4.4;585;Lahaina;(808) 667-4341;$31 to $50;Fine Dining
73411;Mexican;4.2;353;Koloa;(808) 742-8884;$30 and under;Casual Dining
93013;Italian;4.0;168;Lihue;(808) 245-2121;$31 to $50;Casual Elegant
75229;Seafood;4.4;727;Kapalua;(808) 669-6299;$31 to $50;Fine Dining
48715;Mediterranean;4.1;485;Kawaihae;(808) 882-1071;$30 and under;Casual Dining
56422;Italian;4.4;288;Kailua;(808) 262-7555;$30 and under;Casual Elegant
33448;Hawaii Regional Cuisine;4.4;1344;Lahaina;(808) 661-4495;$31 to $50;Casual Dining
51739;Contemporary American;4.0;336;Kailua;(808) 263-2633;$30 and under;Casual Elegant
82333;Global, International;4.7;240;Kahului;(808) 984-3280;$30 and under;Casual Elegant
51724;Italian;4.1;280;Kahului;(808) 873-3650;$30 and under;Casual Elegant
52276;International;4.4;1021;Kawaihae;(808) 882-7771 e;$30 and under;Casual Elegant
117442;Italian;4.4;141;Koloa;(808) 742-8881;$30 and under;Casual Dining
37120;Hawaiian;4.3;1821;Kaanapali;(808) 662-2900;$30 and under;Casual Elegant
58801;Contemporary American;4.3;537;Honolulu;(808) 739-8760;$31 to $50;Casual Dining
53644;Californian;4.3;294;Honolulu;(808) 587-7877;$30 and under;Casual Elegant
79720;Italian;3.9;228;Kapaa;(808) 822-7447;$30 and under;Casual Elegant
81316;Italian;4.2;133;Makawao;(808) 572-0220;$30 and under;Casual Dining
53407;Italian;4.2;927;Honolulu;(808) 591-0800;$30 and under;Casual Dining
61120;Hawaii Regional Cuisine;3.4;86;North Shore;(808) 447-6547;$30 and under;Casual Dining
1534;Hawaiian;4.3;728;Koloa;(808) 742-2121;$30 and under;Casual Dining
24889;Contemporary American;4.2;960;Waikiki;(808) 923-8454;$30 and under;Casual Dining
52420;Contemporary American;4.4;324;Kailua-Kona;(808) 327-2161;$30 and under;Casual Dining
33451;Hawaii Regional Cuisine;4.2;1231;Kaanapali;(808) 667-6636;$30 and under;Casual Elegant
39790;Pan-Asian;3.8;110;Lahaina;(808) 667-0124;$30 and under;Casual Dining
55432;Contemporary American;4.4;2194;Wailea;(808) 891-2322;$30 and under;Casual Dining
51736;Pan-Asian;4.2;280;Kihei;(808) 879-3133;$30 and under;Casual Dining
96082;Pizzeria;4.0;122;Kihei;(808) 874-7499;$30 and under;Casual Dining
18952;Mediterranean;4.6;1555;Midtown / Montrose;(713) 524-0004;$30 and under;Fine Dining
114100;Steakhouse;4.6;362;West Side;(713) 463-5051;$50 and over;Fine Dining
15802;Steakhouse;4.7;3145;Champions;(281) 970-5999;$31 to $50;Casual Elegant
3898;American;4.2;438;Galleria / Uptown;(713) 993-9966;$31 to $50;Casual Elegant
882;Latin American;4.2;1343;Upper Kirby / Shepherd Corridor;(713) 527-8300;$31 to $50;Casual Elegant
104785;American;4.5;1217;Galleria / Uptown;(713) 621-5452;$30 and under;Casual Elegant
109195;Steak;4.4;431;Galleria / Uptown;(713) 977-2544;$50 and over;Fine Dining
151558;Italian;4.4;59;Westchase;(832) 328-5151;$30 and under;Casual Dining
2058;Steakhouse;4.6;1081;Galleria / Uptown;(713) 623-4600;$50 and over;Fine Dining
27151;Seafood;4.3;1177;River Oaks;(713) 528-3474;$31 to $50;Casual Elegant
883;Latin American;4.2;1140;West Side;(713) 952-1988;$30 and under;Casual Elegant
28318;Contemporary American;4.2;133;Galleria / Uptown;(713) 877-9191;$30 and under;Casual Elegant
91921;Italian;4.5;378;W. University / Med Center;(713) 521-1155;$31 to $50;Casual Elegant
111100;Seafood;4.4;334;West Side;(713) 464-7933;$31 to $50;Casual Elegant
797;Southern;4.3;1764;Galleria / Uptown;(713) 528-2264;$30 and under;Casual Elegant
30181;Steakhouse;4.5;2335;Katy;(281) 347-3600;$31 to $50;Casual Elegant
104932;Sushi;4.0;27;Kingwood / Humble / Atascocita;(281) 454-5570;$30 and under;Casual Dining
39943;Steak;4.5;567;West Side;(713) 827-1120;$31 to $50;Fine Dining
116374;Seafood;4.4;120;Galveston;(409) 765-0021;$30 and under;Casual Dining
1812;Southwest;4.6;1157;Galleria / Uptown;(713) 840-1111;$31 to $50;Casual Elegant
133948;Japanese;4.5;166;Downtown;(713) 750-9520;$30 and under;Casual Dining
32428;Steakhouse;4.6;2681;Downtown;(713) 228-1111;$31 to $50;Fine Dining
39178;Creole / Cajun / Southern;4.6;1255;Midtown / Montrose;(713) 522-9711;$31 to $50;Fine Dining
141040;Contemporary American;4.2;66;West Side;(281) 531-7550;$30 and under;Casual Dining
70267;Italian;4.3;499;West Side;(281) 531-0696;$30 and under;Casual Elegant
59398;Italian;4.0;650;Downtown;(713) 665-2822;$30 and under;Casual Dining
149296;Contemporary American;4.4;73;La Porte / Baytown;(281) 867-1700;$30 and under;Casual Elegant
154318;American;5.0;1;Spring;(281) 353-9229;$30 and under;Casual Dining
147796;Seafood;4.6;435;Midtown / Montrose;(713) 491-2222;$30 and under;Casual Elegant
144577;Mexican / Southwestern;3.8;45;The Woodlands;(281) 298-6426;$30 and under;Casual Elegant
39859;Steak;4.4;273;Galleria / Uptown;(713) 877-0720;$50 and over;Casual Dining
151276;Tex-Mex;4.3;23;Midtown / Montrose;(713) 523-3600;$30 and under;Casual Elegant
21217;Latin American;4.1;1449;The Woodlands;(281) 367-1492;$30 and under;Casual Elegant
3100;Steakhouse;4.4;978;Galleria / Uptown;(713) 629-1946;$50 and over;Fine Dining
111097;Steakhouse;4.5;240;Galveston;(409) 572-2650;$31 to $50;Fine Dining
4113;Seafood;4.6;612;Galleria / Uptown;(713) 783-7270;$31 to $50;Fine Dining
6681;Seafood;4.2;1969;Galleria / Uptown;(713) 840-7900;$30 and under;Casual Dining
16648;Italian;4.7;458;Midtown / Montrose;(713) 807-8857;$50 and over;Casual Elegant
39349;Brazilian Steakhouse;4.5;660;Galleria / Uptown;(713) 978-6500;$50 and over;Casual Elegant
7731;Steakhouse;4.3;780;Downtown;(713) 659-3700;$50 and over;Fine Dining
22357;Steak;4.3;398;Downtown;(713) 375-4777;$50 and over;Casual Elegant
148528;Italian;4.1;119;Downtown;(713) 225-3900;$30 and under;Casual Dining
15805;Steakhouse;4.6;2116;Clear Lake / Webster / Bay Area;(281) 286-8800;$31 to $50;Fine Dining
145369;Tex-Mex;4.3;40;West Side;(713) 461-1300;$30 and under;Casual Elegant
3537;Contemporary American;4.5;2622;Midtown / Montrose;(713) 523-3800;$50 and over;Fine Dining
1854;Steak;4.7;3315;Galleria / Uptown;(713) 780-7352;$50 and over;Fine Dining
144871;Italian;4.5;101;Galveston;(409) 621-9595;$30 and under;Casual Elegant
151036;Spanish;4.6;244;Midtown / Montrose;(832) 834-3411;$50 and over;Fine Dining
146083;Steakhouse;3.6;67;Kemah / Seabrook;(281) 334-9463;$50 and over;Fine Dining
92467;American;4.5;415;Midtown / Montrose;(713) 628-9020;$50 and over;Fine Dining
110023;Steakhouse;4.5;384;Galleria / Uptown;(713) 840-1433;$50 and over;Casual Elegant
10882;Contemporary American;4.3;545;W. University / Med Center;(713) 527-1800;$30 and under;Casual Elegant
145366;Tex-Mex;4.4;22;Midtown / Montrose;(713) 520-6969;$30 and under;Casual Elegant
3476;Italian;4.5;1359;Midtown / Montrose;(713) 527-0609;$31 to $50;Fine Dining
10576;Seafood;4.5;2503;Midtown / Montrose;(713) 526-8282;$31 to $50;Casual Elegant
22867;Seafood;4.2;1351;Downtown;(713) 658-8100;$30 and under;Casual Elegant
117337;Japanese;4.6;221;West Side;(713) 461-1688;$31 to $50;Casual Elegant
151840;Seafood;4.3;53;Galveston;(409) 762-8545;$30 and under;Casual Dining
114844;American;4.3;335;Kingwood / Humble / Atascocita;(832) 644-9067;$30 and under;Casual Elegant
13609;Italian;3.9;1493;Downtown;(713) 224-9494;$30 and under;Casual Dining
5014;Bistro;4.4;1638;Midtown / Montrose;(713) 533-0200;$31 to $50;Casual Elegant
152470;American;4.5;224;Midtown / Montrose;(713) 239-0228;$30 and under;Casual Elegant
22981;Italian;4.5;484;Galleria / Uptown;(713) 418-1104;$31 to $50;Fine Dining
7562;Steakhouse;4.6;1262;The Woodlands;(281) 362-1121;$50 and over;Fine Dining
145375;Tex-Mex;4.0;22;Heights / Washington;(713) 862-3209;$30 and under;Casual Elegant
1281;Seafood;4.3;633;Galveston;(409) 762-3474;$30 and under;Casual Dining
138796;Argentinean;4.0;135;Sugar Land / Missouri City;(832) 999-4045;$30 and under;Fine Dining
4505;Contemporary American;3.6;668;Downtown;(832) 667-4470;$30 and under;Casual Elegant
4661;Steakhouse;4.5;1249;Galleria / Uptown;(713) 961-0333;$31 to $50;Casual Elegant
150679;Latin American;4.3;217;Champions;(281) 970-6800;$30 and under;Casual Elegant
15139;Italian;4.4;3230;Galleria / Uptown;(713) 961-2700;$30 and under;Casual Dining
113188;Contemporary American;4.5;792;West Side;(713) 464-5252;$30 and under;Casual Elegant
3865;Italian;4.2;627;Galleria / Uptown;(713) 621-6888;$31 to $50;Casual Elegant
23704;Seafood;3.7;94;East Side;(713) 928-9921;$30 and under;Casual Elegant
20386;Seafood;4.3;770;Midtown / Montrose;(713) 807-8883;$31 to $50;Casual Elegant
21580;Steak;4.5;1797;Alvin / Pearland;(281) 485-0844;$31 to $50;Casual Elegant
112753;Italian;4.3;242;Rice Village;(713) 522-3535;$31 to $50;Casual Elegant
116557;Contemporary American;4.0;161;The Woodlands;(281) 466-4061;$30 and under;Casual Dining
5183;American;4.1;1634;The Woodlands;(281) 298-6600;$31 to $50;Casual Dining
25696;Seafood;4.3;1619;Galveston;(409) 761-5500 e;$30 and under;Casual Elegant
94588;Thai;4.7;247;Kemah / Seabrook;(281) 385-9975;$31 to $50;Fine Dining
18298;Steakhouse;4.5;2314;Galleria / Uptown;(713) 355-2600;$31 to $50;Fine Dining
4548;American;3.9;100;University of Houston;(713) 743-2512;$30 and under;Casual Dining
109186;Italian;4.2;60;Galveston;(409) 740-8605;$30 and under;Casual Elegant
3714;American;3.6;93;Galleria / Uptown;(713) 871-8177;$30 and under;Casual Elegant
15799;Steakhouse;4.6;1761;Sugar Land / Missouri City;(281) 565-2727;$31 to $50;Casual Elegant
113011;Italian;3.7;82;League City;(281) 957-9262;$30 and under;Fine Dining
41329;Seafood;4.4;571;Galleria / Uptown;(713) 840-7190;$31 to $50;Casual Elegant
97093;French;4.7;748;Galleria / Uptown;(832) 668-5808;$30 and under;Fine Dining
7231;American;4.1;744;Downtown;(713) 228-9502;$31 to $50;Casual Elegant
2972;American;4.3;315;Downtown;(713) 758-7534;$31 to $50;Fine Dining
30367;Seafood;4.3;275;Galveston;(409) 515-2145;$30 and under;Casual Elegant
94390;Comfort Food;4.3;826;W. University / Med Center;(713) 568-2505;$31 to $50;Casual Dining
107923;Steakhouse;4.4;498;The Woodlands;(832) 585-0794;$31 to $50;Casual Elegant
72328;International;4.5;335;Galleria / Uptown;(713) 963-8067;$31 to $50;Casual Elegant
100705;Tapas / Small Plates;4.7;191;Downtown;(832) 319-6674;$30 and under;Casual Dining
107914;Italian;4.4;285;The Woodlands;(281) 419-4252;$30 and under;Casual Elegant
110485;Contemporary American;4.4;178;Westchase;(832) 200-0955;$31 to $50;Casual Elegant
7296;Seafood;4.4;1659;Galleria / Uptown;(832) 487-8862;$31 to $50;Casual Elegant
110017;Steakhouse;4.6;559;The Woodlands;(281) 292-2627;$31 to $50;Casual Elegant
588;American;4.5;81;Galleria / Uptown;(713) 403-2631;$31 to $50;Casual Dining
105568;Brazilian Steakhouse;4.5;448;Spring Branch;(713) 730-3013;$31 to $50;Casual Elegant
27595;American;4.6;1703;Galleria / Uptown;(713) 355-1975;$31 to $50;Casual Elegant
88174;Italian;4.6;452;The Woodlands;(281) 465-9555;$31 to $50;Casual Dining
5818;Italian;4.3;774;Downtown;(713) 276-4700;$30 and under;Casual Elegant
91855;Italian;4.7;169;River Oaks;(713) 807-1123;$31 to $50;Casual Dining
51655;Seafood;4.6;1336;River Oaks;(713) 874-1800;$31 to $50;Fine Dining
82522;Contemporary American;4.3;619;West Side;(713) 360-2000;$30 and under;Casual Dining
56761;Steakhouse;4.5;367;West Side;(281) 870-0807;$31 to $50;Fine Dining
3913;Mexican / Southwestern;4.6;393;Upper Kirby / Shepherd Corridor;(713) 520-1738;$31 to $50;Casual Elegant
15808;Steakhouse;4.5;2745;West Side;(832) 358-9000;$31 to $50;Casual Elegant
141961;South American;4.4;188;West Side;(832) 849-0097;$31 to $50;Casual Elegant
97408;Spanish;4.8;504;Bellaire;(713) 839-1005;$31 to $50;Casual Elegant
68236;Contemporary American;4.5;700;Heights / Washington;(713) 868-7930;$31 to $50;Casual Elegant
25864;Seafood;4.8;1212;Galveston;(409) 762-3696;$31 to $50;Fine Dining
99355;Brazilian Steakhouse;4.0;112;Midtown / Montrose;(713) 395-1050;$31 to $50;Casual Elegant
90739;American;4.7;312;Midtown / Montrose;(713) 523-9958;$30 and under;Casual Elegant
36754;Steak;4.2;1283;Downtown;(713) 658-9457;$31 to $50;Fine Dining
139402;South African;4.4;65;Downtown;(818) 201-6979;$30 and under;Casual Dining
116431;Greek;3.9;41;Galveston;(409) 766-1222;$30 and under;Casual Dining
114319;Latin American;4.2;421;West Side;(713) 231-1352;$30 and under;Casual Elegant
111559;American;4.4;338;Midtown / Montrose;(713) 528-9200;$30 and under;Casual Dining
139840;Ethiopian;4.3;48;Galleria / Uptown;(713) 334-0000;$30 and under;Casual Dining
94435;Contemporary American;4.4;545;Midtown / Montrose;(713) 524-6922;$30 and under;Casual Dining
102541;Seafood;4.3;317;The Woodlands;(281) 362-9696;$30 and under;Casual Dining
2302;Contemporary American;4.3;2507;Downtown;(713) 278-4782;$31 to $50;Casual Elegant
87907;Brazilian Steakhouse;4.4;352;Stafford;(281) 277-9292;$31 to $50;Casual Elegant
29914;Steakhouse;4.5;2219;River Oaks;(713) 868-4444;$31 to $50;Fine Dining
109657;Fondue;4.6;182;Galleria / Uptown;(713) 532-5011;$31 to $50;Casual Elegant
114553;American;4.0;387;Downtown;(713) 224-5299;$30 and under;Casual Dining
39940;Steak;4.5;638;River Oaks;(713) 520-5959;$31 to $50;Fine Dining
92782;American;4.5;746;Midtown / Montrose;(713) 628-9020;$30 and under;Casual Dining
109903;Wine Bar;4.6;47;The Woodlands;(832) 934-2675;$30 and under;Casual Dining
78586;Peruvian;4.2;459;Galleria / Uptown;(713) 229-8369;$30 and under;Casual Dining
103408;Indian;4.2;31;Galleria / Uptown;(713) 783-2754;$30 and under;Casual Dining
57847;Contemporary French;4.8;825;Kingwood / Humble / Atascocita;(281) 446-6717;$31 to $50;Casual Elegant
106447;Contemporary French;4.4;219;Midtown / Montrose;(713) 360-6313;$31 to $50;Fine Dining
85966;American;4.3;15;Downtown;(713) 739-6550;$30 and under;Casual Elegant
147448;Comfort Food;4.6;523;Upper Kirby / Shepherd Corridor;(713) 728-6410;$31 to $50;Casual Elegant
22879;Contemporary American;4.6;822;River Oaks;(713) 572-8600;$31 to $50;Casual Elegant
52021;American;4.3;920;Galleria / Uptown;(713) 640-5416;$31 to $50;Casual Elegant
110821;Japanese;4.1;78;West Side;(713) 331-2792;$30 and under;Casual Dining
35533;Seafood;4.7;2088;West Side;(832) 200-2380;$31 to $50;Casual Elegant
87094;Japanese;4.2;419;Downtown;(713) 659-8231;$30 and under;Casual Dining
90586;Sushi;4.3;432;Downtown;(713) 225-3474;$30 and under;Casual Elegant
103204;Italian;4.2;266;North Side;(281) 251-8930;$30 and under;Casual Elegant
100582;Italian;3.8;204;Downtown;(832) 319-6675;$30 and under;Casual Dining
112759;Global, International;4.3;250;Spring;(832) 616-3035;$30 and under;Casual Dining
87118;Japanese;4.2;442;Far Westheimer;(713) 789-4962;$30 and under;Casual Dining
72739;American;4.2;691;Katy;(281) 533-0099;$30 and under;Casual Dining
102139;Italian;4.3;102;W. University / Med Center;(713) 749-0400;$31 to $50;Casual Elegant
22018;American;4.4;1753;Heights / Washington;(713) 861-8666;$31 to $50;Casual Elegant
76285;Italian;4.6;312;Galleria / Uptown;(713) 871-9722;$30 and under;Casual Elegant
93667;Seafood;3.9;130;Galleria / Uptown;(713) 978-6563;$30 and under;Casual Dining
15811;Steakhouse;4.6;2392;The Woodlands;(281) 362-0569;$31 to $50;Casual Elegant
77344;American;3.9;300;CyFair;(281) 404-4190;$30 and under;Casual Dining
114112;Steakhouse;4.5;381;West Side;(713) 395-6100;$31 to $50;Casual Elegant
103513;Traditional Mexican;4.5;42;Bellaire;(832) 623-6467;$30 and under;Casual Dining
56254;Steakhouse;4.5;297;Galveston;(409) 683-4000;$31 to $50;Fine Dining
29917;Steakhouse;4.6;1289;West Side;(713) 465-2901;$31 to $50;Fine Dining
99187;Latin / Spanish;3.9;569;Downtown;(713) 224-9500;$30 and under;Casual Dining
36523;Italian;4.6;1268;Midtown / Montrose;(713) 522-0439;$31 to $50;Casual Elegant
34996;Asian;4.3;478;West Side;(713) 365-9922;$30 and under;Casual Elegant
34069;South African;4.6;2543;Spring;(281) 257-9500;$31 to $50;Casual Elegant
149521;Contemporary American;4.3;63;The Woodlands;(832) 562-4880 e;$30 and under;Casual Dining
99373;American;3.5;26;Downtown;(713) 577-6115;$30 and under;Casual Dining
90241;Italian;4.1;168;Heights / Washington;(713) 861-6331;$30 and under;Casual Elegant
56611;Brazilian Steakhouse;4.3;318;Clear Lake / Webster / Bay Area;(281) 557-9999;$31 to $50;Fine Dining
66820;American;4.1;504;Downtown;(832) 667-7781;$30 and under;Casual Dining
52024;American;4.6;634;West Side;(281) 558-6607;$30 and under;Casual Elegant
77326;French American;4.6;879;Midtown / Montrose;(713) 529-9111;$31 to $50;Casual Elegant
71632;Contemporary American;4.3;991;Upper Kirby / Shepherd Corridor;(713) 527-9090;$31 to $50;Casual Elegant
94765;American;4.1;154;Galleria / Uptown;(713) 993-9800;$30 and under;Casual Elegant
85492;American;3.8;68;Kingwood / Humble / Atascocita;(281) 361-0044;$30 and under;Casual Dining
91783;Contemporary American;4.1;125;West Side;(281) 501-4350;$30 and under;Casual Elegant
39838;Southern;4.7;48;Downtown;(713) 655-9100;$31 to $50;Casual Elegant
145765;Italian;4.6;119;Galveston;(409) 497-4927;$30 and under;Casual Elegant
106786;American;4.3;445;Heights / Washington;(713) 863-7777;$31 to $50;Casual Elegant
87136;Japanese;3.8;311;The Woodlands;(281) 292-0061;$30 and under;Casual Dining
103936;American;4.1;645;River Oaks;(832) 623-6168;$30 and under;Casual Elegant
33691;Sushi;4.4;154;The Woodlands;(281) 298-7177;$31 to $50;Casual Elegant
39730;International;4.4;51;Downtown;(832) 667-7794;$31 to $50;Casual Elegant
51550;Seafood;4.3;1354;Downtown;(713) 375-4775;$31 to $50;Fine Dining
7422;Spanish;4.4;312;W. University / Med Center;(713) 522-9306;$30 and under;Casual Dining
97186;Italian;4.4;102;West Side;(281) 759-6300;$30 and under;Casual Elegant
150487;Organic;4.2;38;Galleria / Uptown;(713) 243-0900;$30 and under;Casual Dining
